Date,Close,RSI,BB_Upper,BB_Middle,BB_Lower,Signal,Action,Shares_Traded,Trade_Value,Shares_Held,Cash,Portfolio_Value
2024-01-31,153.17,59.09,154.4992,150.9775,147.4558,HOLD,HOLD,0,0.0,0,10000.0,10000.0
2024-02-01,149.38,54.82,154.5127,150.9455,147.3783,HOLD,HOLD,0,0.0,0,10000.0,10000.0
2024-02-02,142.83,44.96,155.5056,150.504,145.5024,HOLD,HOLD,0,0.0,0,10000.0,10000.0
2024-02-03,141.31,34.8,156.327,149.9725,143.618,HOLD,HOLD,0,0.0,0,10000.0,10000.0
2024-02-04,139.02,29.81,157.3652,149.419,141.4728,BUY,BUY,7,973.14,7,9026.86,10000.0
2024-02-05,141.21,31.32,157.792,149.1015,140.411,HOLD,HOLD,0,0.0,7,9026.86,10015.33
2024-02-06,142.87,37.55,157.938,148.8365,139.735,HOLD,HOLD,0,0.0,7,9026.86,10026.95
2024-02-07,139.83,38.49,158.071,148.2555,138.44,HOLD,HOLD,0,0.0,7,9026.86,10005.67
2024-02-08,141.95,29.94,157.8355,147.7755,137.7155,HOLD,HOLD,0,0.0,7,9026.86,10020.51
2024-02-09,139.44,35.33,157.7294,147.183,136.6366,HOLD,HOLD,0,0.0,7,9026.86,10002.94
2024-02-10,139.22,30.72,157.2926,146.513,135.7334,HOLD,HOLD,0,0.0,7,9026.86,10001.4
2024-02-11,138.49,29.17,157.2471,145.9885,134.7299,HOLD,HOLD,0,0.0,7,9026.86,9996.29
2024-02-12,138.78,23.98,157.1486,145.5175,133.8864,HOLD,HOLD,0,0.0,7,9026.86,9998.32
2024-02-13,140.82,27.11,156.7443,145.087,133.4297,HOLD,HOLD,0,0.0,7,9026.86,10012.6
2024-02-14,142.42,28.67,155.9395,144.6275,133.3155,HOLD,HOLD,0,0.0,7,9026.86,10023.8
2024-02-15,143.29,37.0,155.1766,144.2415,133.3064,HOLD,HOLD,0,0.0,7,9026.86,10029.89
2024-02-16,144.92,51.09,154.2481,143.89,133.5319,HOLD,HOLD,0,0.0,7,9026.86,10041.3
2024-02-17,146.11,58.52,153.1997,143.567,133.9343,HOLD,HOLD,0,0.0,7,9026.86,10049.63
2024-02-18,144.55,67.65,151.3111,143.068,134.8249,HOLD,HOLD,0,0.0,7,9026.86,10038.71
2024-02-19,142.75,58.58,149.8349,142.618,135.4011,HOLD,HOLD,0,0.0,7,9026.86,10026.11
2024-02-20,141.58,49.69,147.3945,142.0385,136.6825,HOLD,HOLD,0,0.0,7,9026.86,10017.92
2024-02-21,142.83,54.94,145.9067,141.711,137.5153,HOLD,HOLD,0,0.0,7,9026.86,10026.67
2024-02-22,142.2,52.61,145.8505,141.6795,137.5085,HOLD,HOLD,0,0.0,7,9026.86,10022.26
2024-02-23,148.04,59.21,147.0168,142.016,137.0152,HOLD,HOLD,0,0.0,7,9026.86,10063.14
2024-02-24,145.99,71.41,147.4523,142.3645,137.2767,HOLD,HOLD,0,0.0,7,9026.86,10048.79
2024-02-25,143.24,67.11,147.5386,142.466,137.3934,HOLD,HOLD,0,0.0,7,9026.86,10029.54
2024-02-26,145.17,59.15,147.7875,142.581,137.3745,HOLD,HOLD,0,0.0,7,9026.86,10043.05
2024-02-27,148.72,58.96,148.7125,143.0255,137.3385,HOLD,HOLD,0,0.0,7,9026.86,10067.9
2024-02-28,149.99,62.01,149.8435,143.4275,137.0115,HOLD,HOLD,0,0.0,7,9026.86,10076.79
2024-02-29,152.07,62.58,151.2234,144.059,136.8946,HOLD,HOLD,0,0.0,7,9026.86,10091.35
2024-03-01,155.64,63.21,153.2926,144.88,136.4674,HOLD,HOLD,0,0.0,7,9026.86,10116.34
2024-03-02,155.41,66.18,154.7769,145.726,136.6751,HOLD,HOLD,0,0.0,7,9026.86,10114.73
2024-03-03,151.85,69.31,155.2148,146.3795,137.5442,HOLD,HOLD,0,0.0,7,9026.86,10089.81
2024-03-04,150.52,65.23,155.4882,146.8645,138.2408,HOLD,HOLD,0,0.0,7,9026.86,10080.5
2024-03-05,152.9,64.88,156.1409,147.3885,138.6361,HOLD,HOLD,0,0.0,7,9026.86,10097.16
2024-03-06,149.29,66.15,156.2681,147.6885,139.1089,HOLD,HOLD,0,0.0,7,9026.86,10071.89
2024-03-07,149.37,60.38,156.4224,147.911,139.3996,HOLD,HOLD,0,0.0,7,9026.86,10072.45
2024-03-08,150.01,52.34,156.6221,148.106,139.5899,HOLD,HOLD,0,0.0,7,9026.86,10076.93
2024-03-09,149.22,57.45,156.7076,148.3395,139.9714,HOLD,HOLD,0,0.0,7,9026.86,10071.4
2024-03-10,151.03,61.95,156.7871,148.7535,140.7199,HOLD,HOLD,0,0.0,7,9026.86,10084.07
2024-03-11,152.48,61.77,156.7708,149.2985,141.8262,HOLD,HOLD,0,0.0,7,9026.86,10094.22
2024-03-12,158.28,58.25,157.8949,150.071,142.2471,HOLD,HOLD,0,0.0,7,9026.86,10134.82
2024-03-13,159.83,65.17,159.0,150.9525,142.905,HOLD,HOLD,0,0.0,7,9026.86,10145.67
2024-03-14,158.31,64.48,160.0005,151.466,142.9315,HOLD,HOLD,0,0.0,7,9026.86,10135.03
2024-03-15,156.91,55.39,160.4723,152.012,143.5517,HOLD,HOLD,0,0.0,7,9026.86,10125.23
2024-03-16,154.83,52.89,160.1036,152.5915,145.0794,HOLD,HOLD,0,0.0,7,9026.86,10110.67
2024-03-17,157.21,56.1,160.1384,153.1935,146.2486,HOLD,HOLD,0,0.0,7,9026.86,10127.33
2024-03-18,155.79,63.12,160.261,153.547,146.833,HOLD,HOLD,0,0.0,7,9026.86,10117.39
2024-03-19,155.61,55.89,160.3918,153.828,147.2642,HOLD,HOLD,0,0.0,7,9026.86,10116.13
2024-03-20,157.49,64.98,160.7963,154.099,147.4017,HOLD,HOLD,0,0.0,7,9026.86,10129.29
2024-03-21,155.68,67.73,160.8001,154.101,147.4019,HOLD,HOLD,0,0.0,7,9026.86,10116.62
2024-03-22,154.94,61.78,160.7614,154.0775,147.3936,HOLD,HOLD,0,0.0,7,9026.86,10111.44
2024-03-23,150.34,61.91,160.8176,154.002,147.1864,HOLD,HOLD,0,0.0,7,9026.86,10079.24
2024-03-24,147.64,48.71,161.0719,153.858,146.6441,HOLD,HOLD,0,0.0,7,9026.86,10060.34
2024-03-25,146.22,41.38,161.4662,153.524,145.5818,HOLD,HOLD,0,0.0,7,9026.86,10050.4
2024-03-26,147.26,24.54,161.6261,153.4225,145.2189,HOLD,HOLD,0,0.0,7,9026.86,10057.68
2024-03-27,150.24,22.87,161.592,153.466,145.34,HOLD,HOLD,0,0.0,7,9026.86,10078.54
2024-03-28,150.19,33.62,161.5861,153.475,145.3639,HOLD,HOLD,0,0.0,7,9026.86,10078.19
2024-03-29,150.85,35.57,161.5265,153.5565,145.5865,HOLD,HOLD,0,0.0,7,9026.86,10082.81
2024-03-30,151.27,40.9,161.5239,153.5685,145.6131,HOLD,HOLD,0,0.0,7,9026.86,10085.75
2024-03-31,153.98,35.08,161.5847,153.6435,145.7023,HOLD,HOLD,0,0.0,7,9026.86,10104.72
2024-04-01,156.21,45.73,161.2884,153.54,145.7916,HOLD,HOLD,0,0.0,7,9026.86,10120.33
2024-04-02,156.9,51.29,160.7622,153.3935,146.0248,HOLD,HOLD,0,0.0,7,9026.86,10125.16
2024-04-03,154.37,48.66,160.232,153.1965,146.161,HOLD,HOLD,0,0.0,7,9026.86,10107.45
2024-04-04,156.63,47.12,160.1895,153.1825,146.1755,HOLD,HOLD,0,0.0,7,9026.86,10123.27
2024-04-05,157.58,53.48,160.5551,153.32,146.0849,HOLD,HOLD,0,0.0,7,9026.86,10129.92
2024-04-06,160.65,67.54,161.2346,153.492,145.7494,HOLD,HOLD,0,0.0,7,9026.86,10151.41
2024-04-07,160.57,80.96,162.0185,153.731,145.4435,HOLD,HOLD,0,0.0,7,9026.86,10150.85
2024-04-08,165.45,86.48,163.9428,154.223,144.5032,SELL,SELL,7,1158.15,0,10185.01,10185.01
2024-04-09,164.56,88.69,165.2166,154.5765,143.9364,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-04-10,168.54,83.43,167.4796,155.2195,142.9594,SELL,HOLD,0,0.0,0,10185.01,10185.01
2024-04-11,168.83,86.19,169.5307,155.914,142.2973,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-04-12,167.54,85.99,171.0314,156.774,142.5166,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-04-13,164.72,81.47,171.6387,157.628,143.6173,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-04-14,164.34,70.69,171.8004,158.534,145.2676,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-04-15,167.9,66.86,172.3668,159.566,146.7652,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-04-16,169.94,70.39,173.3615,160.551,147.7405,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-04-17,171.66,79.39,174.3804,161.6245,148.8686,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-04-18,165.72,78.96,174.2271,162.368,150.5089,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-04-19,167.5,63.15,174.0716,163.1795,152.2874,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-04-20,168.89,61.55,174.2211,163.925,153.6289,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-04-21,167.51,63.44,174.2573,164.49,154.7227,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-04-22,165.94,53.75,174.0788,164.942,155.8052,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-04-23,165.94,52.45,173.2657,165.5205,157.7753,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-04-24,170.25,44.62,173.0425,166.2015,159.3605,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-04-25,167.61,52.52,172.2997,166.703,161.1063,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-04-26,166.54,50.12,171.861,166.9975,162.134,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-04-27,169.95,53.28,171.4983,167.4665,163.4347,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-04-28,168.83,59.1,171.5977,167.6355,163.6733,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-04-29,167.92,51.64,171.5063,167.8035,164.1007,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-04-30,168.17,46.29,171.4766,167.785,164.0934,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-05-01,165.06,43.23,171.4374,167.5965,163.7556,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-05-02,165.61,48.56,171.4375,167.5,163.5625,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-05-03,162.59,45.65,171.7218,167.3935,163.0652,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-05-04,164.8,36.5,171.6842,167.4165,163.1488,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-05-05,164.81,44.39,171.6699,167.262,162.8541,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-05-06,170.52,47.5,171.7759,167.291,162.8061,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-05-07,171.22,58.09,171.6715,167.269,162.8665,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-05-08,174.63,51.96,173.0946,167.7145,162.3344,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-05-09,171.38,63.78,173.5186,167.9085,162.2984,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-05-10,171.07,58.75,173.7822,168.0175,162.2528,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-05-11,171.88,52.28,174.2338,168.236,162.2382,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-05-12,176.24,56.29,175.5826,168.751,161.9194,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-05-13,172.04,65.02,175.903,169.056,162.209,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-05-14,174.52,56.11,176.5073,169.2695,162.0317,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-05-15,176.0,65.25,177.4473,169.689,161.9307,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-05-16,179.83,66.26,179.129,170.3535,161.578,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-05-17,181.61,76.31,180.9843,170.9365,160.8887,SELL,HOLD,0,0.0,0,10185.01,10185.01
2024-05-18,181.74,76.0,182.6159,171.582,160.5481,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-05-19,180.44,76.09,183.7488,172.208,160.6672,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-05-20,177.32,67.69,184.2551,172.6655,161.0759,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-05-21,177.8,60.01,184.5453,173.3025,162.0597,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-05-22,177.33,55.76,184.679,173.8885,163.098,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-05-23,182.38,62.02,184.9482,174.878,164.8078,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-05-24,180.85,69.18,184.9354,175.6805,166.4256,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-05-25,181.65,64.85,184.6656,176.5225,168.3794,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-05-26,177.73,60.15,184.5561,176.883,169.2099,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-05-27,176.74,60.79,184.3813,177.159,169.9367,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-05-28,177.39,54.46,184.4256,177.297,170.1684,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-05-29,179.45,52.89,184.3406,177.7005,171.0604,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-05-30,183.07,49.15,184.5953,178.3005,172.0057,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-05-31,182.96,53.03,184.7277,178.8545,172.9813,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-06-01,180.17,52.53,184.8232,179.051,173.2788,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-06-02,181.31,49.47,184.3775,179.5145,174.6515,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-06-03,182.61,58.45,184.3824,179.919,175.4556,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-06-04,183.83,59.84,184.7033,180.3105,175.9177,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-06-05,182.08,62.91,184.8756,180.423,175.9704,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-06-06,184.92,49.31,185.434,180.5885,175.743,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-06-07,185.14,58.78,185.9778,180.7585,175.5392,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-06-08,186.89,57.72,186.9397,181.081,175.2223,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-06-09,190.07,72.41,188.503,181.7185,174.934,SELL,HOLD,0,0.0,0,10185.01,10185.01
2024-06-10,191.59,79.45,190.1892,182.408,174.6268,SELL,HOLD,0,0.0,0,10185.01,10185.01
2024-06-11,192.31,80.21,191.6867,183.157,174.6273,SELL,HOLD,0,0.0,0,10185.01,10185.01
2024-06-12,197.69,79.02,194.5306,183.9225,173.3144,SELL,HOLD,0,0.0,0,10185.01,10185.01
2024-06-13,198.3,80.56,196.9992,184.795,172.5908,SELL,HOLD,0,0.0,0,10185.01,10185.01
2024-06-14,197.56,81.41,198.8954,185.5905,172.2856,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-06-15,197.84,88.87,200.4029,186.596,172.7891,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-06-16,201.55,88.42,202.32,187.8365,173.353,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-06-17,201.85,89.59,203.9336,189.0595,174.1854,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-06-18,203.14,89.17,205.6326,190.244,174.8554,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-06-19,206.13,96.72,207.8795,191.397,174.9145,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-06-20,204.85,96.74,209.4868,192.4915,175.4962,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-06-21,200.54,91.49,209.8588,193.51,177.1612,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-06-22,201.28,75.94,210.1801,194.5085,178.8369,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-06-23,201.86,73.48,210.4506,195.471,180.4914,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-06-24,200.34,72.39,210.4139,196.2965,182.1791,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-06-25,202.52,66.92,210.064,197.3185,184.573,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-06-26,204.03,61.76,209.9813,198.274,186.5667,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-06-27,201.55,63.37,209.1947,199.0945,188.9943,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-06-28,202.84,58.61,208.4059,199.892,191.3781,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-06-29,202.35,60.34,207.7787,200.506,193.2333,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-06-30,198.65,51.91,206.9568,200.859,194.7612,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-07-01,199.78,43.43,205.9486,201.2325,196.5164,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-07-02,199.66,43.06,205.824,201.331,196.838,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-07-03,197.8,34.83,205.8712,201.306,196.7408,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-07-04,199.11,33.91,205.7395,201.3835,197.0275,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-07-05,200.33,46.22,205.5852,201.508,197.4308,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-07-06,198.88,47.55,205.6092,201.3745,197.1398,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-07-07,199.89,42.65,205.5532,201.2765,196.9998,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-07-08,202.42,48.86,205.4657,201.2405,197.0153,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-07-09,200.64,49.75,204.5495,200.966,197.3825,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-07-10,201.59,41.68,203.9328,200.803,197.6732,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-07-11,201.6,50.11,204.0021,200.856,197.7099,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-07-12,207.27,46.47,205.3663,201.1555,196.9447,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-07-13,202.61,60.82,205.4414,201.193,196.9446,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-07-14,204.35,58.35,205.836,201.3935,196.951,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-07-15,203.58,59.4,205.9662,201.4465,196.9268,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-07-16,203.33,57.85,205.8609,201.4115,196.9621,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-07-17,208.09,61.84,207.0569,201.7385,196.4201,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-07-18,208.06,66.75,207.9797,201.9995,196.0193,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-07-19,213.67,65.09,210.4203,202.5655,194.7107,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-07-20,212.56,74.84,212.0174,203.261,194.5046,SELL,HOLD,0,0.0,0,10185.01,10185.01
2024-07-21,213.44,71.21,213.5932,203.944,194.2948,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-07-22,212.21,69.53,214.6476,204.5715,194.4954,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-07-23,210.48,70.91,215.0914,205.2055,195.3196,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-07-24,210.64,65.62,215.5225,205.782,196.0415,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-07-25,209.93,65.8,215.825,206.262,196.699,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-07-26,210.44,55.63,215.9344,206.84,197.7456,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-07-27,205.18,70.09,215.6671,207.1045,198.5419,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-07-28,210.18,51.8,215.8722,207.4925,199.1128,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-07-29,209.77,62.11,215.7613,207.949,200.1367,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-07-30,214.12,61.75,216.256,208.5755,200.895,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-07-31,211.61,61.17,216.154,209.076,201.998,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-08-01,212.34,56.02,216.4933,209.3295,202.1657,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-08-02,220.25,47.3,218.1506,210.2115,202.2724,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-08-03,218.08,62.25,219.0623,210.898,202.7337,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-08-04,214.34,57.1,218.9962,211.436,203.8758,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-08-05,212.97,53.03,218.5177,211.918,205.3183,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-08-06,214.15,53.57,218.644,212.221,205.798,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-08-07,215.89,54.9,218.9269,212.6125,206.2981,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-08-08,219.11,58.08,219.7979,212.8845,205.9711,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-08-09,218.47,60.95,220.5056,213.18,205.8544,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-08-10,214.46,69.0,220.5773,213.231,205.8847,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-08-11,213.38,56.3,220.621,213.2895,205.958,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-08-12,216.48,55.21,220.9276,213.5895,206.2514,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-08-13,217.64,53.53,221.3489,213.9395,206.5301,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-08-14,212.75,59.41,221.2838,214.0805,206.8772,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-08-15,212.66,50.57,221.2336,214.1915,207.1494,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-08-16,216.16,36.63,220.478,214.7405,209.003,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-08-17,221.47,46.77,221.35,215.305,209.26,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-08-18,222.88,61.39,222.2986,215.9605,209.6224,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-08-19,223.65,65.82,223.5371,216.437,209.3369,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-08-20,220.55,65.36,223.8364,216.884,209.9316,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-08-21,218.44,57.22,223.8462,217.189,210.5318,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-08-22,218.56,48.93,223.646,217.1045,210.563,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-08-23,219.82,50.15,223.8282,217.1915,210.5548,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-08-24,221.27,59.61,224.266,217.538,210.81,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-08-25,220.07,63.95,224.3638,217.893,211.4222,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-08-26,217.19,56.81,224.296,218.045,211.794,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-08-27,215.25,49.2,224.3142,218.013,211.7118,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-08-28,212.35,54.97,224.4145,217.675,210.9355,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-08-29,213.96,49.45,224.367,217.4495,210.532,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-08-30,208.18,45.78,225.0636,217.1355,209.2074,HOLD,HOLD,0,0.0,0,10185.01,10185.01
2024-08-31,207.35,24.95,225.7122,216.834,207.9558,BUY,BUY,4,829.4,4,9355.61,10185.01
2024-09-01,208.47,20.08,226.0328,216.4335,206.8342,HOLD,HOLD,0,0.0,4,9355.61,10189.49
2024-09-02,212.28,21.14,225.9132,216.1655,206.4178,HOLD,HOLD,0,0.0,4,9355.61,10204.73
